X,Y,OBJECTID,Mine_ID,MineName,Address,Latitude,Longitude,LAS_CODE,LAS_Name,ReportYear,ReportType,Acres_Dist,MineStatus,Rec_Status,Operator,Opt_Street,Opt_City,Opt_State,Opt_Zip,OptCountry,Owner,Owr_Street,Owr_City,Owr_State,Owr_Zip,OwrCountry,RP_Number,PriProduct,Other_Prod,Opt_Type,Permit_Num,PermitAcre,Mech_Total,FaceAmount
-12886158.6846,3852244.6775,2019395,91-13-0068,YUHA BASIN-CALEXICO-MERGED W/13-0072,,32.675,-115.758333,13.00 ,County of Imperial,1999,2 ,20,CLOSED - MERGED,RECLAMATION IN PROGRESS,"GIBSON & SCHAEFER, INC.",PO BOX 1539,HEBER,CA,92249,,"GIBSON & SCHAEFER, INC.",PO BOX 1539,HEBER,CA,92249,,,Sand and Gravel,,OPEN PIT,"CA 40706,CA-060-FP9-38",,5000,
-12887333.7732,3852501.7709,2019396,91-13-0031,YUHA PIT,,32.676944,-115.768889,13.00 ,County of Imperial,2002,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA-19173,0.00,,
-13019803.9672,3856212.7914,2019397,91-37-0038,SWEETWATER RESERVOIR,,32.705,-116.958889,37.00 ,County of San Diego,1994,2 ,46.25,RECLAIMED,RECLAMATION IN PROGRESS,SWEETWATER AUTHORITY,100 LAKEVIEW DRIVE,SPRING VALLEY,CA,91977,,SWEETWATER AUTHORITY,PO BOX 2328,CHULA VISTA,CA,91912-2328,,,Sand and Gravel,,,RP 80-05,,,
-12815965.6231,3857168.2479,2019398,91-13-0063,DROP 3 CLAY PIT,333 E. BARIONE BLVD/  P.O. BOX 937,32.712222,-115.127778,13.00 ,County of Imperial,2011,2 ,,RECLAIMED,RECLAMATION NOT STARTED,IMPERIAL IRRIGATION DISTRICT,333 E. BARIONI BLVD  J-1-WD /P.O. BOX 937,IMPERIAL,CA,92251,,IMPERIAL IRRIGATION DISTRICT,333 E. BARIONI BLVD  J-1-WD /P.O. BOX 937,IMPERIAL,CA,92251,,,Clay,,OPEN PIT,"79-201,CA060-IPO-",,,0
-12771314.1508,3858785.3709,2019399,91-13-0070,PILOT KNOB,,32.724444,-114.726667,13.00 ,County of Imperial,1997,2 ,,RECLAIMED,RECLAMATION NOT STARTED,"RIVER ROCK & SAND, INC.",1216 WESTWIND DRIVE,EL CENTRO,CA,92243,,"RIVER ROCK & SAND, INC.",1216 WESTWIND DRIVE,EL CENTRO,CA,92243,,,Sand and Gravel,,UNDETERMINED,BLANK,180.00,15000,
-12844413.8756,3859226.5392,2019400,91-13-0088,MAGGIO FARMS,,32.727778,-115.383333,13.00 ,County of Imperial,1996,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"C.A. RASMUSSEN COMPANY, LLC",2360A SHASTA WAY,SIMI VALLEY,CA,93065,,"C.A. RASMUSSEN COMPANY, LLC",2360A SHASTA WAY,SIMI VALLEY,CA,93065,,,Fill Dirt,,OPEN PIT,CUP 1183-95,197.00,,
-12959196.6271,3859741.1681,2019401,91-37-0018,LA POSTA SAND PIT,,32.731667,-116.414444,37.00 ,County of San Diego,1997,2 ,0,RECLAIMED,RECLAMATION IN PROGRESS,,,,,,,,,,,,,,Decomposed Granite,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,P84-036,21.00,,
-13018381.5268,3860329.2673,2019402,91-37-0042,MONTE VISTA PIT,5510 OVERLAND AVE STE 410,32.736111,-116.946111,37.00 ,County of San Diego,2018,2 ,45,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,COUNTY OF SAN DIEGO,"5510 OVERLAND AVE, STE 410",SAN DIEGO,CA,92123,,"SAN DIEGO COUNTY, DEPARTMENT OF PUBLIC WORKS","5469 KEARNY VILLA ROAD, SUITE 201",SAN DIEGO,CA,92123,,,Fill Dirt,,QUARRY,P87-073,55.00,,0
-13016340.7065,3860880.7362,2019403,91-37-0060,RANCHO SAN DIEGO GOLF COURSE,,32.740278,-116.927778,37.00 ,County of San Diego,1999,2 ,5,RECLAIMED,RECLAMATION NOT STARTED,"J. CLOUD, INC.",2094 WILLOW GLEN DRIVE,EL CAJON,CA,92019,,WESTER GOLF RESOURCES,3121 WILLOW GLEN DRIVE,EL CAJON,CA,92019,,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,,,,0
-12831674.0278,3862020.4144,2019404,91-13-0058,"TIERRA TILE, INC.",,32.748889,-115.268889,13.00 ,County of Imperial,1998,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"TIERRA TILE, INC.",2198 E. HARTSHORN ROAD,HOLTVILLE,CA,92250,,HOYT,2198 E. HARTSHORN ROAD,HOLTVILLE,CA,92250,,,Sand and Gravel,,OPEN PIT,"CA-36121,RP 140-90",,,
-13016371.6534,3863491.1341,2019405,91-37-0011,JAMACHA ROCK QUARRY,1508 W. MISSION ROAD,32.76,-116.928056,37.00 ,County of San Diego,2022,2 ,65.5,ACTIVE,RECLAMATION NOT STARTED,SUPERIOR READY MIX CONCRETE,1564 west mission road,Escondido,CA,92029,US,SUPERIOR READY MIX CONCRETE,1564 W. MISSION ROAD,ESCONDIDO,CA,92029,US,,Sand and Gravel,,OPEN PIT,RP 79-004,65.00,250479,229085
-13012135.2788,3863491.1341,2019406,91-37-0017,GENE TAYLOR MATERIALS,,32.76,-116.89,37.00 ,County of San Diego,1994,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,TAYLOR TRUST,2261 WILLOW GLEN DRIVE,EL CAJON,CA,92021,,TAYLOR TRUST,2261 WILLOW GLEN DRIVE,EL CAJON,CA,92021,,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,"P77-012,RP78-006",,,
-13012135.2788,3864079.4204,2019407,91-37-0020,HESTER'S GRANITE,2094 Willow Glen Drive ,32.764444,-116.89,37.00 ,County of San Diego,2022,2 ,73,ACTIVE,RECLAMATION NOT STARTED,HESTER'S GRANITE COMPANY,2094 Willow Glen Drive,San Diego,CA,92019,US,HESTER'S GRANITE COMPANY,2094 WILLOW GLEN DRIVE,EL CAJON,CA,92019-3903,US,,Sand and Gravel,,QUARRY,L7505,94.00,473689,519731
-12915534.6737,3864962.0372,2019408,91-13-0095,AMMEX PIT,839 DOGWOOD ROAD,32.771111,-116.022222,13.00 ,County of Imperial,2021,2 ,49,ACTIVE,RECLAMATION NOT STARTED,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.",839 DOGWOOD ROAD,HEBER,CA,92249,,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.",839 DOGWOOD ROAD,HEBER,CA,92249,,RP 145-90,Sand and Gravel,,QUARRY,,75.00,49705.38,53204
-12831457.5114,3864962.0372,2019409,91-13-0002,HOLTVILLE #1,,32.771111,-115.266944,13.00 ,County of Imperial,1991,2 ,0,EXEMPT,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,DESERT GRAVEL COMPANY,PO BOX 400,EL CENTRO,CA,92244,,BUREAU OF LAND MANAGEMENT,330 S. WATERMAN AVENUE,EL CENTRO,CA,92243,,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,,,,
-12915782.0257,3865145.9296,2019410,91-13-0006,OCOTILLO/ SHELL CANYON PIT,839 Dogwood Road,32.7725,-116.024444,13.00 ,County of Imperial,2021,2 ,55,ACTIVE,RECLAMATION NOT STARTED,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.",839 DOGWOOD ROAD,HEBER,CA,92249,,"Cal-Grade, Inc.",839 Dogwood Road,Heber,CA,92249,,11-0001,Sand and Gravel,,QUARRY,,80.00,167466.8,107633
-12914545.1548,3865513.7229,2019411,91-13-0052,OCOTILLO,"4050 Taylor Street, MS 120",32.775278,-116.013333,13.00 ,County of Imperial,2019,2 ,85,IDLE,RECLAMATION NOT STARTED,CALIFORNIA DEPARTMENT OF TRANSPORTATION,4050 TAYLOR STREET,SAN DIEGO,CA,92110,,CALIFORNIA DEPARTMENT OF TRANSPORTATION,4050 TAYLOR STREET,SAN DIEGO,CA,92110,,,Sand and Gravel,,UNDETERMINED,,144.00,73042,0
-12918565.0129,3865660.817,2019412,91-13-0012,OCOTILLO (CARROLL),PO BOX 3600,32.776389,-116.049444,13.00 ,County of Imperial,2022,2 ,45,ACTIVE,RECLAMATION NOT STARTED,ROBERTSON'S READY MIX,83801 Avenue 45,Indio,CA,92201,,ROBERTSON'S READY MIX,83801 Avenue 45,Indio,CA,92201,US,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,BLANK,480.00,,83160.2
-12914885.3472,3865734.2985,2019413,91-13-0009,SHELL CANYON,PO BOX 1028,32.776944,-116.016389,13.00 ,County of Imperial,2022,2 ,97,IDLE,RECLAMATION NOT STARTED,"FLORIDA ROCK INDUSTRIES, INC.",P O BOX 1028,SEELEY,CA,92273,,"FLORIDA ROCK INDUSTRIES, INC.",1235 White Sands Drive,San Marcos,CA,92078,US,RP #10-0001,Sand and Gravel,,OPEN PIT,,135.26,528244,536784
-13041294.7515,3865881.5277,2019414,91-37-0028,MISSION VALLEY - EX FENTON - RECLAIMED,PO BOX 30,32.778056,-117.151944,37.15 ,City of San Diego,2009,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CALMAT COMPANY,PO BOX 30,SAN DIEGO,CA,92163,USA,CALMAT COMPANY,1600 FOOTHILL BLVD,IRWINDALE,CA,91706,,,Sand and Gravel,,OPEN PIT,82-0005,32.00,370589,0
-13009568.6966,3865881.5277,2019415,91-37-0027,SLOAN CANYON,5485 CASINO WAY,32.778056,-116.866944,37.00 ,County of San Diego,2012,2 ,,EXEMPT,RECLAMATION IN PROGRESS,SYCUAN TRIBAL DEVELOPMENT CORP.,5485 CASINO WAY,EL CAJON,CA,92019,,SYCUAN TRIBAL DEVELOPMENT CORP.,5485 CASINO WAY,EL CAJON,CA,92019,,,Sand and Gravel,,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",P74-68W,658.00,100445,
-13040305.3439,3866138.9185,2019416,91-37-0026,MISSION VALLEY - RECLAIMED,5745 MISSION CENTER ROAD,32.78,-117.143056,37.15 ,City of San Diego,2014,2 ,89.5,RECLAIMED,RECLAMATION IN PROGRESS,CALMAT COMPANY DBA VULCAN MATERIALS COMPANY,10051 BLACK MOUNTAIN ROAD,SAN DIEGO,CA,92126,,CALMAT COMPANY,1600 FOOTHILL BLVD,IRWINDALE,CA,91706,,5073-PC&82-0005,Sand and Gravel,,"OPEN PIT,PLANT OR MILL",BLANK,0.00,1220534,0
-12916214.9472,3866359.6382,2019417,91-13-0017,SHELL CANYON SITE/PIT,PO BOX 1510,32.781667,-116.028333,13.00 ,County of Imperial,2022,2 ,55,IDLE,RECLAMATION NOT STARTED,IMPERIAL VALLEY AGGREGATES,83801 Avenue 45,Indio,CA,92201,United States,IMPERIAL VALLEY AGGREGATES,83801 Avenue 45,Indio,CA,92201,US,RP 145-90,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,BLANK,80.00,118235.79,117382.4
-13038851.9566,3866800.9575,2019418,91-37-0004,MISSION VALLEY ROCK PLANT - RECLAIMED,7588 METROPOLITAN DRIVE,32.785,-117.13,37.15 ,City of San Diego,2003,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,H.G. FENTON MATERIAL COMPANY,7588 METROPOLITAN DRIVE,SAN DIEGO,CA,92108,,"MISSION CITY, INC.","7220 TRADE STREET, SUITE 300",SAN DIEGO,CA,92121,,,Sand and Gravel,,"OPEN PIT,PLANT OR MILL,QUARRY",CUP82-0014,0.00,73398,
-12919307.18,3867279.1053,2019419,91-13-0098,JIMENEZ MINE,PO BOX 1510,32.788611,-116.056111,13.00 ,County of Imperial,2022,2 ,100,ACTIVE,RECLAMATION NOT STARTED,IMPERIAL VALLEY AGGREGATES,83801 Avenue 45,Indio,CA,92201,US,IMPERIAL VALLEY AGGREGATES,83801 Avenue 45,Indio,CA,92201,US,,Sand and Gravel,,OPEN PIT,179-95,100.00,99000,295196.61
-12917730.1167,3867463.0338,2019420,91-13-0018,OCOTILLO (SCHAEFER),,32.79,-116.041944,13.00 ,County of Imperial,2001,2 ,0,RECLAIMED,RECLAMATION IN PROGRESS,GRANITE CONSTRUCTION COMPANY,2095 HIGHWAY 111,EL CENTRO,CA,92243,,GRANITE CONSTRUCTION COMPANY,38000 MONROE ST,INDIO,CA,92203,,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,24-83,0.00,18213,
-12911947.7371,3868529.8495,2019421,91-13-0036,SHELL CANYON,,32.798056,-115.99,13.00 ,County of Imperial,1995,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA 19187,0.00,,
-12900784.8412,3868676.9812,2019422,91-13-0059,CITY OF EL CENTRO M.S.,1275 MAIN STREET,32.799167,-115.889722,13.00 ,County of Imperial,2012,2 ,5,RECLAIMED,RECLAMATION IN PROGRESS,EL CENTRO CITY,1275 MAIN STREET,EL CENTRO,CA,92243,,CITY OF EL CENTRO,307 W. BRIGHTON AVENYE,EL CENTRO,CA,92243,,,Fill Dirt,,OPEN PIT,CA060-FP95,0.00,,0
-12899022.3197,3869044.7524,2019423,91-13-0030,PLASTER CITY,,32.801944,-115.873889,13.00 ,County of Imperial,1995,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA-19174,0.00,,
-12890642.4111,3869155.2051,2019424,91-13-0075,BECKER DIXIELAND MINE,PO BOX 1028,32.802778,-115.798611,13.00 ,County of Imperial,2022,2 ,91,IDLE,RECLAMATION NOT STARTED,"FLORIDA ROCK INDUSTRIES, INC.",PO Box 1028,Seely,CA,92273,US,"FLORIDA ROCK INDUSTRIES, INC.","31 Rancho Camino Drive, Suite 300",Ponoma,CA,92273,US,,Sand and Gravel,,OPEN PIT,,240.00,233069,277956
-12908298.9068,3869228.7085,2019425,91-13-0034,PAINTED GORGE,155 SOUTH 11TH STREET,32.803333,-115.957222,13.00 ,County of Imperial,2022,2 ,0,IDLE,RECLAMATION NOT STARTED,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA-21647,0.00,29356.63,38080
-13034739.3693,3869449.4861,2019426,91-37-0024,CANYON ROCK,1508 W. MISSION ROAD,32.805,-117.093056,37.15 ,City of San Diego,2022,2 ,359,ACTIVE,RECLAMATION NOT STARTED,SUPERIOR READY MIX CONCRETE,1564 W. MISSION ROAD,ESCONDIDO,CA,92029,US,SUPERIOR READY MIX CONCRETE,1564 W. MISSION ROAD,ESCONDIDO,CA,92029,US,,Sand and Gravel,,OPEN PIT,CUP 82-061,200.00,270000,247268
-12992839.9375,3870442.8379,2019427,91-37-0056,PALO VERDE DESILTATION & RECLAMATION PROJECT,PO BOX 551,32.8125,-116.716667,37.00 ,County of San Diego,2008,2 ,0,EXEMPT,RECLAMATION IN PROGRESS,PALO VERDE RANCH HOMEOWNERS ASSOCIATION,PO BOX 551,ALPINE,CA,91903,,PALO VERDE RANCH HOMEOWNERS ASSOCIATION,PO BOX 551,ALPINE,CA,91903,,,Specialty Sand,Fill Dirt,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,"MUP 85-001,RP  85-01",,,20000
-12776694.5558,3871841.0895,2019428,91-13-0061,JACKSON GULCH,18452 WISECARVER TRUCK TRAIL,32.823056,-114.775,13.00 ,County of Imperial,2006,2 ,5.8,ABANDONED,RECLAMATION NOT STARTED,"ORLOSKY, INC.",18452 WISECARVER T.T.,JAMUL,CA,91935,,"ORLOSKY, INC.",18452 WISECARVER T.T.,JAMUL,CA,91935,,,Gold (Placer),,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,CAMC 20516,10.00,,
-12833034.5746,3871951.4361,2019429,91-13-0015,NORRISH MINE,38000 MONROE STREET,32.823889,-115.281111,13.00 ,County of Imperial,2011,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,GRANITE CONSTRUCTION COMPANY,38000 MONROE ST,INDIO,CA,92203,,GRANITE CONSTRUCTION COMPANY,38000 MONROE ST,INDIO,CA,92203,,,Sand and Gravel,,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,BLANK,0.00,,0
-12911947.7371,3872245.787,2019430,91-13-0060,CREOLE PROPERTY,P.O. BOX 158,32.826111,-115.99,13.00 ,County of Imperial,2005,2 ,4.5,CLOSED - NEVER OPERATED,RECLAMATION NOT STARTED,CREOLE CORPORATION,PO BOX 158,ORO GRANDE,CA,92368,,TXI RIVERSIDE CEMENT COMPANY,P.O. BOX 158,ORO GRANDE,CA,92368,,,Limestone,,"OPEN PIT,PLANT OR MILL,QUARRY","1-80,EIR225-79",,,
-13014578.0737,3872356.1373,2019431,91-37-0022,TUNNEL HILL PIT,PO BOX 2488,32.826944,-116.911944,37.00 ,County of San Diego,2021,2 ,8.8,IDLE,RECLAMATION NOT STARTED,"C.W. McGrath, Inc. ",PO Box 2488 ,El Canjon,CA,92021,,"C.W. MCGRATH, INC.",13080 HIGHWAY 8 BUSINESS - P.O. BOX 2488,EL CAJON,CA,92021,,,Fill Dirt,,QUARRY,RP 79-002,0.00,21633,23412
-12833189.1974,3873386.5655,2019432,91-13-0086,HOLTVILLE CLAY PIT,155 SOUTH 11TH STREET,32.834722,-115.2825,13.00 ,County of Imperial,2022,2 ,0,ACTIVE,RECLAMATION NOT STARTED,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,BLANK,,19744.19,17919
-12762161.1284,3874159.5121,2019433,91-13-0039,PICACHO WASH PIT,155 SOUTH 11TH STREET,32.840556,-114.644444,13.00 ,County of Imperial,2011,2 ,18,RECLAIMED,RECLAMATION IN PROGRESS,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA060 FP22,0.00,,0
-12778704.5405,3874343.4157,2019434,91-13-0066,PADRE MADRE,,32.841944,-114.793056,13.00 ,County of Imperial,2002,2 ,0,RECLAIMED,RECLAMATION IN PROGRESS,AMERICAN GIRL MINING JOINT VENTURE,529 EAST SOUTH TEMPLE,SALT LAKE CITY,UT,84102,,AMERICAN GIRL MINING JOINT VENTURE,PO BOX 879,WINTERHAVEN,CA,92283,,,Gold (Lode),,"OPEN PIT,PLANT OR MILL","CAMC84648/,CUP746-86,RP27-87",,,23250
-12779013.6747,3874601.1241,2019435,91-13-0112,AMERICAN GIRL MINE EAST - PYRAMID,839 DOGWOOD ROAD,32.843889,-114.795833,13.00 ,County of Imperial,2021,2 ,40,ACTIVE,RECLAMATION NOT STARTED,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.",839 DOGWOOD ROAD,HEBER,CA,92249,,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.",839 DOGWOOD ROAD,HEBER,CA,92249,,08-0001,Sand and Gravel,,QUARRY,,40.00,45673.87,69333
-12858699.9511,3875815.8081,2019436,91-13-0107,API-WORTHINGTON PIT,9500 BEVERLY ROAD,32.853056,-115.511667,13.00 ,County of Imperial,2021,2 ,63.57,ACTIVE,RECLAMATION NOT STARTED,"AGGREGATE PRODUCTS, INC.",9500 BEVERLY ROAD,PICO RIVERA,CA,90660-2135,,"AGGREGATE PRODUCTS, INC.",9500 BEVERLY ROAD,PICO RIVERA,CA,90660-2135,,,Fill Dirt,,OPEN PIT,CUP 00-0019(3),128.00,54155.68,60503.44
-13003909.993,3876147.0953,2019437,91-37-0068,TURVEY DG PIT,15570 EL CAPITAN PEAK,32.855556,-116.816111,37.00 ,County of San Diego,2022,2 ,17,ACTIVE,RECLAMATION NOT STARTED,TURVEY,15570 El Capitan Peak,El Cajon,CA,92021,,TURVEY,15570 EL CAPITAN PEAK,EL CAJON,CA,92021,US,,Decomposed Granite,"Rock,Fill Dirt",OPEN PIT,,17.00,31880,36027
-12778147.9431,3876220.6423,2019438,91-13-0062,AMERICAN GIRL CANYON,25 G STREET,32.856111,-114.788056,13.00 ,County of Imperial,2010,2 ,0,RECLAIMED,RECLAMATION IN PROGRESS,MK GOLD COMPANY,25 G STREET,SALT LAKE CITY,UT,84103,,AMERICAN GIRL MINING JOINT VENTURE,25 G STREET,SALT LAKE CITY,UT,84103,,,Gold (Lode),Silver,"OPEN PIT,PLANT OR MILL,UNDERGROUND","CAMC 17603,CAMC 84648,CUP746-86,CUP828-88",,,0
